Nom de la Recette,Ingredients,Puree Preparation,Duree Cuisson,Duree Repos,Etapes de Preparation,URL Recette,URL_Image,Ingredient_lem_token,Ingredient_stem_token
Gâteau à la vanille,200 g de beurre//200 g de sucre//360 g de farine//125 cl de lait//3 œufs//15 g de poudre à lever//essence de vanille,20 min,30 min,15 min,"Battez le beurre mou et le sucre jusqu’à obtenir la consistance d’une pommade.//Ajoutez les œufs un à un, en battant après chaque œuf. Ajoutez l’essence de vanille.//Ajoutez la farine tamisée avec la poudre à lever. Versez le lait. Mélangez.//Versez cette préparation dans un moule. Enfournez à 200°C pour 30 minutes.",https://www.cuisine-libre.org/gateau-a-la-vanille,https://www.cuisine-libre.org/local/cache-gd2/7c/136be6fbca95d8738a7b1903d0ef24.jpg?1644799895,farine œuf lever sucre vanille lait poudre beurre essence,poudr oeuf lever essenc beurr lait vanil farin sucr
Gâteau de potiron sucré,450 g de potiron//120 g de beurre demi-sel fondu + un peu pour le moule//1 gousse de vanille//200 g de cassonade//4 œufs//10 cl de jus d’orange pressée//300 g de farine//1 sachet de levure//1 c. à café de cannelle//1 c. à café de gingembre en poudre//sucre glace - facultativement,20 min,1 h 20,,"Éplucher le potiron. Retirer les graines, si nécessaire. Puis le tailler en morceaux.//Le faire cuire dans une casserole avec 20 g de beurre et un fond d’eau à couvert pendant 20 min.//Égoutter. Puis mixer afin d’obtenir une purée.//Préchauffer le four à 180°C - Th. 6.//Fendre la gousse de vanille en deux dans le sens de la longueur et gratter l’intérieur avec un petit couteau afin d’en récolter les graines.//Dans un saladier. mélanger la cassonade et les œufs. Ajouter le reste du beurre fondu et le jus d’orange. Incorporer ensuite la farine ainsi que la levure, les graines de vanille, la cannelle et le gingembre. Mélanger bien le tout afin d’obtenir une pâte lisse et homogène.//Beurrer et fariner un moule à manqué et verser la préparation.//Enfourner pour 50 à 60 min jusqu’a ce que le gâteau soit doré.//Au moment de servir. saupoudrer éventuellement de sucre glace.",https://www.cuisine-libre.org/gateau-de-potiron-sucre,https://www.cuisine-libre.org/local/cache-gd2/c7/14d571edf7acb2f382d365638ace86.jpg?1644799045,sachet demi cassonade œuf glace orange moule potiron café beurre vanille cannelle sucre gingembre pressée gousse sel farine levure ju facultativement poudre,gous ju sachet demi presse levur glace oeuf potiron vanil cannel farin cafe facultativ sel poudr gingembr moul cassonad beurr orang sucr
Mimi au choco,120 g de beurre//140 g de chocolat pâtissier//120 g de sucre//1 sachet de sucre vanillé//1 verre de lait//1 cuil. à soupe de café soluble//3 œufs//160 g de farine//1 sachet de levure,25 min,45 min,,"Faire fondre le beurre et le chocolat au bain-marie. Une simple casserole de fonte fait l’affaire, à condition de mettre le feu très doux. Profiter que le beurre fonde pour beurrer le moule. Ajouter les sucres en remuant. Retirer du feu.//Préchauffer le four (th.5-6, 150-180°C).//Dissoudre le café dans un petit verre de lait tiède et l’ajouter au mélange. Incorporer les jaunes d’œufs un à un, en fouettant. En dernier, ajouter la farine en la tamisant avec la levure. Bien mélanger.//Battre les blancs en neige et les incorporer délicatement en soulevant la pâte.//Verser la pâte dans le moule et enfourner. Cuire à four moyen pendant 45 minutes. Surveiller la cuisson : le gâteau ne doit pas se dessécher, mais rester moelleux au centre.",https://www.cuisine-libre.org/mimi-au-choco,https://www.cuisine-libre.org/local/cache-gd2/09/92b8c76151c7ea25da72ab7264c28f.jpg?1644800289,chocolat pâtissier café farine œuf levure sachet sucre lait vanillé soluble beurre verre cuil,chocolat patissi levur sachet oeuf cafe verr beurr solubl lait cuil vanil farin sucr
Galette au chocolat et au thé,800 g de pâte feuilletée//15 cl de crème fraîche liquide//1 ou 2 sachets de thé Earl Grey à la bergamote//150 g de chocolat noir - en tablette//20 g de sucre en poudre//20 g de beurre//1 jaune d’œuf pour dorer//1 cuillère à soupe de sucre glace,30 min,30 min,30 min,"Verser la crème fraîche dans une petite casserole, porter à ébullition et retirer aussitôt du feu.//Plonger 1 ou 2 sachets de thé (selon que l’on souhaite un goût plus ou moins corsé) préalablement humidifiés et laisser infuser à couvert jusqu’à utilisation (10 min minimum).//Fondre le chocolat en morceaux avec le beurre au bain-marie, Dès qu’il est mou, ajouter le sucre en poudre et délayer.//Incorporer la crème au thé à la pâte de chocolat tenue au bain-marie et délayer vivement pour obtenir une crème lisse et brillante.//Laisser refroidir complètement pour faire raffermir.//Préchauffer le four : Th 7, 210°C.//Diviser la pâte feuilletée en 2 parts égales et les abaisser en 2 disques, l’un de 26 cm de Ø et l’autre de 28 cm.//Poser le plus petit sur la tôle du four légèrement humidifiée. Étaler régulièrement sur cette abaisse la crème au chocolat froide, en laissant une marge de 2 cm sur tout le pourtour.//Glisser 1 fève dans la crème. Mouiller tout le bord de la pâte au pinceau avec de l’eau.//Poser la deuxième abaisse sur la garniture et la souder à la pâte du dessous en appuyant bien sur tout le pourtour pour faire adhérer.//Badigeonner la galette au pinceau avec le jaune d’œuf additionné d’1 cuillère à café d’eau.//Dessiner des motifs à la pointe du couteau sur le dessus.//Enfourner à mi-hauteur et laisser cuire 10 min, puis baisser la température à 180°C - Th 6, puis poursuivre la cuisson 10 min, jusqu’à ce que la galette soit dorée.//Au bout de ce temps, délayer le sucre glace dans 1 cuillère à soupe d’eau, et badigeonner la galette avec ce sirop.//Terminer la cuisson 10 min, jusqu’à ce que la galette soit bien dorée avec un aspect laqué (on pourra baisser le Thermostat à 5-6 - 160°C, si le dessous fonce trop).//Au sortir du four, faire glisser la galette sur une grille à pâtisserie et la laisser refroidir complètement.",https://www.cuisine-libre.org/galette-au-chocolat-et-au-the,https://www.cuisine-libre.org/local/cache-gd2/27/9066e3b9d1bdd28414f2eb13a14c25.jpg?1644795614,crème sachet œuf bergamote glace fraîche liquide dorer tablette pâte beurre chocolat noir sucre jaune grey thé feuilletée earl poudre cuillère,sachet jaun bergamot pate creme glace liquid oeuf dorer fraich chocolat cuiller noir tablett feuillete the poudr grey earl beurr sucr
Macarons parisiens,300 g de tant-pour-tant//3 blancs d’œufs vieillis//30 g de sucre en poudre//1 pincée de sel (facultatif)//2 gouttes de jus de citron (facultatif),1 h,15 min,5 j,"Pour bien faire, les blancs d’œufs doivent être vieillis. Séparez les blancs des jaunes et gardez-les au frais, dans un récipient hermétique, plusieurs jours à l’avance. Ramenez-les à température ambiante avant de commencer.//Préparez le tant-pour-tant : mélangez le même poids de sucre glace et de poudre d’amande.//Montez les blancs en neige avec 1 pincée de sel et 2 gouttes de jus de citron. Quand les blancs moussent et que le fouet commence à faire des sillons, ajoutez progressivement 30 g de sucre fin pour les serrer, sans cesser de battre. Poursuivez la montée des blancs pour obtenir des blancs très fermes. Ajoutez alors la deuxième moitié de sucre pour « serrer » les blancs.//Incorporez délicatement les blancs au tant-pour-tant, en une ou deux fois, avec un mouvement circulaire du bord vers l’intérieur. Le mélange doit être lisse et brillant, souple sans être liquide, et former un ruban en retombant.//Disposez une feuille de papier sulfurisé sur une plaque à pâtisserie. Remplissez de pâte une poche à douille (ou une seringue de pâtissier). Déposez des macarons réguliers, en les espaçant de 2 cm et en quinconce, car celles-ci vont légèrement s’agrandir en s’étalant sur la feuille.//Tapotez un peu votre plaque sur le plan de travail pour évacuer les bulles d’air. Laissez croûter à température ambiante une vingtaine de minutes au moins, voire même toute une nuit, dans un endroit chaud et sec. Le dessus des macarons non cuits doit s’assécher de manière à ne plus être collant au toucher.//Préchauffez le four à 150°C.//Si vous en avez plusieurs, n’enfournez jamais qu’une seule plaque de macarons à la fois. Cuire les macarons 12 à 15 min en veillant à ce qu’ils ne colorent pas. Surveillez bien la cuisson car c’est une question de minutes ! Les macarons vont gonfler et la collerette se former. Vers la fin de la cuisson, entre-ouvrez la porte un instant, pour permettre à l’humidité de s’évacuer et assécher vos coques.//À la sortie du four, laissez refroidir une minute, puis décollez les macarons. S’ils sont bien cuits, ils se décollent facilement.//Gardez-les au frais et attendez au moins jusqu’au lendemain pour les fourrer et les déguster.",https://www.cuisine-libre.org/macarons-parisiens,https://www.cuisine-libre.org/local/cache-gd2/42/92e940419a8eab763aaeaee385565f.jpg?1644795462,citron facultatif œuf blanc sucre tant ju vieilli poudre goutte sel,citron poudr ju facultatif blanc oeuf goutt tant sel vieilli sucr
"Crumble à la rhubarbe, fraise et coco",1 kg de rhubarbe//125 g de sucre//30 g de miel//15 cl de lait de coco//125 g de beurre//125 g de farine//65 g de poudre d’amandes//65 g de poudre de noix de coco//500 g de fraises,30 min,15 min,,"Éplucher la rhubarbe et couper les tiges en petits bâtonnets.Dans une poêle faire chauffer le miel, ajouter ensuite la rhubarbe et le lait de coco. Laisser cuire 3 à 4 minutes pour obtenir une compotée.Préchauffer le four à 200°C (th.6-7).//Réaliser la pâte à crumble : mélanger du bout des doigts le beurre, la poudre d’amandes, la poudre de noix de coco, la farine et le sucre.Disposer la pâte sur un papier de cuisson et cuire 15 minutes à 200°C, jusqu’à coloration.//Dresser la compotée de rhubarbe dans des verrines, ajouter des fraises fraîches, recouvrir de crumble et servir.",https://www.cuisine-libre.org/crumble-a-la-rhubarbe-fraise-et-noix-de-coco,https://www.cuisine-libre.org/local/cache-gd2/1c/337dc5137eafb5357123f6aec0474d.jpg?1644794213,farine fraise noix coco sucre rhubarbe lait beurre amande poudre miel,poudr frai noix coco amand beurr lait rhubarb miel farin sucr
Mona de Pascua,graines d’anis//15 cl de lait//1 pincée de sel//1 orange//1 citron//100 g de beurre//4 œufs//30 g de levure//500 g de farine//300 g de sucre//4 œufs entiers//1 jaune d’œuf//sucre perlé,1 h 30,40 min,1 j,"Faire chauffer le lait, arrêter avant ébullition. Ajouter les graines d’anis et laisser infuser 25 min. Filtrer la préparation : garder le lait et jeter les graines d’anis.//Mélanger la levure dans le lait. Ajouter 2 cuillères à soupe de sucre. Réserver au soleil ou sur un radiateur.",https://www.cuisine-libre.org/mona-de-pascua,https://www.cuisine-libre.org/local/cache-gd2/73/f4d7c7165d49c6f2a4d1bdc5f34b02.jpg?1644795615,citron œuf farine œuf levure sucre orange perlé lait ani entier graine beurre jaune sel,citron grain levur oeuf perl entier sucr beurr jaun lait ani orang farin sel
Carac,"6 fonds de tartelette (6-7 cm ø)//0,5 dl de crème entière//125 g de chocolat noir//25 g de beurre//100 g sucre glace//1 c. à soupe d’eau//colorant alimentaire vert//6 pastilles de chocolat ou Smarties",35 min,,2 h,"Porter la crème à ébullition, retirer la casserole du feu. Ajouter le chocolat et le beurre, faire fondre en remuant avec le fouet. Répartir le fourrage dans les fonds de tartelettes, placer au réfrigérateur et laisser durcir deux heures.//Bien mélanger le sucre glace, l’eau et le colorant alimentaire pour obtenir un glaçage épais, en recouvrir les caracs, ajouter une pastille de chocolat au centre et réserver au réfrigérateur jusqu’au moment de servir.",https://www.cuisine-libre.org/carac,https://www.cuisine-libre.org/local/cache-gd2/33/c73d274a9ff7c700d7ffd9b2925acc.jpg?1644865220,chocolat alimentaire tartelette ø crème glace noir cm entière fond sucre colorant dl vert pastille eau beurre smartie,chocolat tartelett creme glace noir cm entier sucr smarti beurr fond dl alimentair pastil vert eau color o
Pain de citrouille (Pumpkin Bread),⅔ tasse de saindoux//1 c. à café de muscade//2⅔ tasses de sucre//1 c. à café de cannelle//4 gros œufs//2 c. à café de bicarbonate de soude//1 c. à café de levure//3⅓ tasses de farine//⅔ tasse d’eau//1 boîte de purée de citrouille (ou l’équivalent en citrouille ou autre courge cuite à la vapeur et réduite en purée)//1½ c. à café de sel//graines de courge (pour décorer),20 min,50 min,,Mélangez tous les ingrédients jusqu’à ce que la pâte soit lisse. Versez le mélange dans deux moules à pain. Décorer de graines de courges.//Cuire dans un four pré-chauffé à 200°C pour 50 à 60 min.//Laisser refroidir avant de démouler.Servir tranché avec du beurre.,https://www.cuisine-libre.org/pain-de-citrouille,https://www.cuisine-libre.org/local/cache-gd2/d6/24f3c2454cefd58ae37f13ccdb7dcf.jpg?1667139255,réduite courge eau autre œuf saindoux graine café équivalent cuite sucre cannelle vapeur ⅔ muscade sel ½ citrouille bicarbonate farine levure boîte tasse purée décorer ⅓,eau muscad autr grain levur citrouil oeuf boit saindoux bicarbon cuit equival cannel tas farin cafe reduit vapeur courg sel decor pure sucr
Gâteau de Litha aux épices de feu,1½ c. à café de safran//1 tasse d’eau//½ tasse de beurre//1½ tasse de sucre//1 c. à café de jus de citron//2 œufs//3 tasses (un peu moins) de farine//2 tasses de fruits rouges//1 tasse de raisins secs//un peu de levure//un peu de sucre glace,20 min,50 min,,Mélanger l’eau bouillante avec le safran puis laisser refroidir.//Ajouter les autres ingrédients avec l’eau et le safran.//Enfourner à 180°C/350°F pendant 50 minutes.//Saupoudrer de sucre glace avant de servir.,https://www.cuisine-libre.org/gateau-de-litha-aux-epices-de-feu,https://www.cuisine-libre.org/local/cache-gd2/87/c21d6cd1c1cd0d1e65df1a7db2b81e.jpg?1647773539,½ citron safran farine œuf sec levure glace sucre ju moin fruit beurre tasse rouge eau raisin café,citron ju safran sec levur glace oeuf roug fruit sucr beurr farin eau raisin tas moin cafe
Duo de douceurs au haricot tarbais,100 g de haricots tarbais//80 g de chocolat noir 70 %//70 g de beurre//90 g de sucre//1 œuf//80 g de haricots tarbais//1 orange//1 citron jaune//1 citron vert//50 g de blanc d’oeuf//100 g de crème liquide//100 g de sucre//1 feuille de gélatine végétale//1 orange//40 g de carottes cuites//15 cl d’huile d’olive//½ jus de citron//25 g de sucre//45 g de beurre//35 g de sucre//10 g de cacao//50 g de farine//35 g de chocolat,1 h,1 h 40,12 h,"Le mi-cuit//La veille, mettre à tremper les haricots tarbais durant 12h. Les blanchir puis les cuire à l’eau pour qu’ils soient fondants. Égoutter et mixer. Faire fondre le chocolat au bain-marie, ajouter le beurre puis le sucre, la purée de haricots tarbais et l’œuf en dernier. Verser dans un petit moule à cake beurré et enfourner dans un four préchauffé à 170°C. Faire cuire 25 min à 150°C, laisser refroidir 10 min puis démouler en retournant sur un plat.//La mousse//Zester l’orange et le citron à l’économe.Blanchir les zestes, et procéder à la préparation des haricots comme expliqué précédemment en ajoutant la moitié des zestes à la cuisson. Les enlever avant de mixer et laisser refroidir (en garder un peu pour le dressage).Râper le zeste du citron vert, réserver. Presser les agrumes, chauffer 100 g de jus et faire fondre la gélatine préalablement trempée. Mélanger le tout à la purée de tarbais. Ajouter le blanc monté avec le sucre et la crème également montée : mélanger le plus délicatement possible. Enfin, laisser au frais durant 2h.//Pour le sablé//Hacher le chocolat.Mélanger tous les autres ingrédients et les ajouter une fois que le mélange est homogène. Étaler la préparation au rouleau entre deux feuilles de papier sulfurisé. Cuire au four durant 4 min à 170°C puis 10 min à 150°C.//Pour la sauce, presser l’orange et mixer le jus avec le reste des ingrédients.//Pour le dressage//Émincer les zestes de citron et d’orange restants, les passer dans un peu de sirop de sucre avec les haricots tarbais. Couper deux tranches de mi-cuit par personne, puis disposer dans chaque assiette harmonieusement avec des quenelles de mousse. Poser la sauce au fond de l’assiette et parsemer le tout de brisures de sablé, des zestes de haricots tarbais et des râpures de citron vert.",https://www.cuisine-libre.org/duo-de-douceurs-au-haricot-tarbais,https://www.cuisine-libre.org/local/cache-gd2/98/3b50c5aceee7041de303cf5c03c8a2.jpg?1644802619,crème végétale huile tarbai feuille œuf oeuf orange liquide haricot beurre carotte chocolat noir gélatine sucre vert ao cuite jaune ½ citron olive farine blanc ju,ju jaun vegetal feuill tarbai creme liquid oeuf haricot cuit farin chocolat oliv gelatin noir vert ao citron blanc huil beurr carott orang sucr
Madeleines de Commercy,75 g de beurre ramolli//100 g de sucre//3 œufs//100 g farine//1/2 cuillère de levure chimique//1 c.à.s d’eau de fleur d’oranger,20 min,10 min,,"Mélanger le sucre et le beurre jusqu’à l’obtention d’un mélange homogène et mou, s’écrasant facilement à la fourchette : étape très importante pour que les madeleines soient aérées.//Ajouter les œufs un par un. Attention : la pâte semble se défaire mais il faut bien mélanger pour que la pâte redevienne homogène entre chaque œuf.//Ajouter l’eau de fleur d’oranger.//Ajouter la farine et la levure d’un coup.//Disposer la pâte dans des moules à madeleine. Mettre au four à 190-200°C, bien en bas dans le four. Laisser cuire environ 10 minutes. Surveiller la cuisson. Quand les bords des madeleines sont bien dorés, les sortir.",https://www.cuisine-libre.org/madeleines-de-commercy,https://www.cuisine-libre.org/local/cache-gd2/87/247251aad0d83cb0a46edca296ea25.jpg?1644794512,oranger fleur farine œuf levure chimique sucre eau beurre cuillère,cuiller fleur levur oeuf chimiqu beurr eau orang farin sucr
Gaufres aux fleurs d’acacia,300 g farine//10 g de levure//sel//75 g de sucre en poudre//100 g de beurre//2 œufs//1/2 litre de lait//100 à 300 g de fleurs d’acacia,,,,"Triez les fleurs d’acacias : retirez les fleurs de leur grappe. Si vous êtes patient (pas comme moi) vous pouvez retirez le réceptacle floral.////Faites la pâte à gaufres : dans un saladier ou dans un mixeur, mélangez dans l’ordre : farine, levure puis sel, sucre, beurre fondu et œufs. Ajoutez enfin le lait petit à petit.//Cuire les gaufres : Au dernier moment, mélangez dans la pâte les fleurs fraîchement cueillies et triées (sans les laver). Faites cuire comme d’habitude dans votre gaufrier.",https://www.cuisine-libre.org/gaufres-aux-fleurs-d-acacia,https://www.cuisine-libre.org/local/cache-gd2/49/e3048891378e4cdf5d64207446cb1f.jpg?1644794233,a farine œuf levure sucre ia lait fleur poudre beurre sel,poudr fleur a levur oeuf ia sucr beurr lait farin sel
Losanges de semoule aux dattes (bradjs),"3 mesures de semoule de blé dur moyenne//1 mesure de beurre fondu//1 mesure d’eau de fleur d’oranger et d’eau//1 cc de sel//1 mesure de pâte de dattes//2 cas de beurre fondu//1/2 cc de cannelle//2 cas de fleur d’oranger//Eventuellement une pincée de clou de girofle, de cardamone, ou un peu de noix de coco rapée, ou des graines de sésame grillées, et hâchées grossièrement.",30 min,15 min,,"Il faut commencer par la préparation de votre pâte. Mélangez dans un saladier, votre semoule, le sel, et le beurre fondu. Travaillez du bout des doigts afin de la sabler et que le beurre pénètre toute la semoule. La semoule doit absorber tout le beurre. Pour ma part, j’ajoute un tout petit peu d’eau de fleur d’oranger et je laisse la pâte reposer un peu de temps, voire quelques heures. Une fois ce laps de temps passé, ou de suite, ajoutez doucement l’eau mélangée à l’eau de fleur d’orangerde manière à obtenir une pâte lisse. Ne pétrissez surtout pas. La pâte doit être homogène. Mettre de côté.//Travaillez la pâte de dattes avec le beurre. Ajouter la fleur d’oranger, la cannelle, le beurre fondu et obtenez une pâte lisse.//Divisez votre pâte de semoule en deux boules, et abaissez-les de manière à obtenir deux ronds d’une épaisseur d’un centimètre à peu près. Pour plus de facilité et pour les débutantes, vous pouvez travailler avec 4 boules ou 6 boules, plus facile.//Abaissez votre pâte de dattes, et déposez la délicatement sur une galette de semoule. Ajoutez une deuxième galette de semoule. Aplatissez doucement et aidez-vous d’un rouleau à pâtisserie, soudez bien l’ensemble.//À l’aide d’un couteau, découpez des losanges. Faites cuire dans une poêle chaude. Retournez délicatement à l’aide d’une spatule.//Servez ces douceurs fondantes et agréablement parfumées.",https://www.cuisine-libre.org/losanges-de-semoule-aux-dattes-bradjs,https://www.cuisine-libre.org/local/cache-gd2/f0/b30b6c9537afc7ba11282d68a5c253.jpg?1644795762,grossièrement noix cardamone eau semoule datte oranger girofle dur pâte graine beurre ca mesure fleur cannelle eventuellement blé clou sel rapée grillée coco sésame moyenne hâchée mesure,mesur noix sesam ble eau datt pate girofl hache grain rape semoul dur moyenn cannel ca fleur grossier clou sel eventuel coco cardamon beurr orang grille
Sablés viennois à la pistache et ses brisures,250 g de beurre doux//105 g de sucre glace//1 pincé de fleur de sel//40 g de blancs d’œufs//300 g de farine//350 g de chocolat noir de préférence à 70 % de cacao//50 g de pâte à pistache colorée//30 g de pistaches concassées,20 min,16 min,,"Mettre en consistance crémeuse le beurre doux. Ne pas hésiter à le battre au batteur plusieurs minutes. Le beurre doit devenir léger et blanchâtre. Ajouter le sucre glace tamisé, la fleur de sel légèrement pilée, la pâte à pistache et les blancs d’œufs. Battre quelques secondes pour obtenir une pâte homogène. Verser ensuite la farine et mélanger délicatement au batteur.//Dresser vos sablés en utilisant une poche à douille avec une douille cannelée de grande taille. Réaliser des « W » ou laisser votre imagination opérer. Cuire dans un four chaud à 200°C pendant environ 16 minutes. Après cuisson, laisser refroidir vos sablés sur une grille à pâtisserie. Fondre du chocolat noir. Tremper la moitié des sablés dans le chocolat juste fondu et les disposer sur une grille. Saupoudrer de brisures de pistaches. Laisser durcir le chocolat à l’air libre et inviter les gourmands à la dégustation.",https://www.cuisine-libre.org/sables-viennois-a-la-pistache-et-ses-brisures,https://www.cuisine-libre.org/local/cache-gd2/82/9ecc8e9362078231b492c03a966f36.jpg?1644794933,doux glace œuf pistache pâte beurre chocolat fleur colorée noir sucre concassée ao pistache sel farine blanc pincé préférence,chocolat pinc fleur glace noir blanc oeuf doux prefer concasse beurr pistach sel ao colore pate farin sucr
Cookies aux haricots tarbais et mulberries,100 g de haricots tarbais cuits au naturel//50 g de beurre//75 g de rapadura//1 œuf//200 g de farine//1 pincée de sel//½ sachet de levure//1 c. à café de cannelle//des mulberries,20 min,20 min,1 h,"Battre en pommade le beurre avec le rapadura et l’œuf.//Ajouter les haricots tarbais grossièrement écrasés en purée, après les avoir égouttés.//Incorporer ensuite la farine, la levure, la pincée de sel, la cannelle et les mulberries.//Remuer jusqu’à ce que le mélange soit à peu près lisse, et laisser reposer 1 heure au frais.//Disposer plusieurs boules de pâte sur une plaque à pâtisserie, bien espacées.//Cuire environ 20 minutes dans un four préchauffé à 180°C (thermostat 6), jusqu’à ce que le dessus des cookies soit légèrement doré.",https://www.cuisine-libre.org/cookies-aux-haricots-tarbais-et-mulberries,https://www.cuisine-libre.org/local/cache-gd2/77/fdad38e1e7d273c4d339d8942bf68a.jpg?1644794342,½ mulberry cuit rapadura œuf farine café levure sachet cannelle naturel haricot tarbai beurre sel,tarbai mulberri rapadura levur sachet oeuf naturel cafe beurr haricot cuit cannel farin sel
Financiers au thé vert,50 g de poudre d’amandes//50 g de farine de riz//80 g de sucre glace//50 g de beurre//2 œufs (ou 3 blancs)//2 c. à café de poudre de thé vert matcha,10 min,15 min,,"Préchauffez le four à 190°C (th6/7).//Faire fondre le beurre dans une casserole.//Dans un grand bol, mélangez le sucre, la poudre d’amande et la poudre de thé vert, puis incorporez les œufs. Versez le beurre fondu et mélangez bien.//Ajoutez la farine sans cesser de remuer.//Remplir des moules à financiers de ce mélange et faire cuire 12 min.",https://www.cuisine-libre.org/financiers-au-the-vert,https://www.cuisine-libre.org/local/cache-gd2/a0/93ee79d9c3c675486ed8e893447646.jpg?1644794976,café farine glace œuf blanc sucre thé amande riz vert matcha poudre beurre,the poudr glace amand oeuf blanc cafe beurr riz vert matcha farin sucr
Profiteroles,80 g de farine//40 g de margarine//2 gros œufs//1/8 L d’eau//1 pincée de sel//1 cuillère à café de sucre//glace à la vanille,30 min,35 min,,"Mettre l’eau dans une casserole avec la margarine coupée en morceaux, le sel et le sucre. Porter à ébullition.//Hors du feu, ajouter la farine en une fois, mélanger bien rapidement pour obtenir une boule de pâte.//Sécher la pâte : remettre la casserole sur feu doux et mélanger la pâte pendant deux minutes.//Laisser tiédir avant d’ajouter les œufs un à un et mélanger énergiquement après chaque œuf.//Dresser la pâte, selon la forme voulue, sur une plaque à pâtisserie graissée.//Faire cuire à 180°C/th.6 pendant 35 minutes.//Après la cuisson, découper un chapeau dans le haut du chou. Le vider entièrement de la partie moelleuse. Remplir de glace à la vanille, puis replacer le chapeau. Saupoudrer de sucre glace ou de sauce au chocolat, et placer au congélateur pendant 15 minutes avant dégustation.",https://www.cuisine-libre.org/profiteroles,https://www.cuisine-libre.org/local/cache-gd2/a8/05e1096457d0c497f8d6aeae924d94.jpg?1644803841,margarine farine œuf glace vanille sucre eau café cuillère sel,cuiller glace oeuf cafe sucr farin eau vanil margarin sel
Sablé nappé de chocolat,50 g d’huile de palme en pain//50 g de vergeoise belge Graeffe (ou sucre)//200 g de farine de riz//1/2 cuillère à thé de bicarbonate de sodium//1 c. à soupe de citron pressé//5 a 7cl de lait de riz ou jus de fruit//chocolat noir « sans » pour allergique,10 min,5 min,1 h,"Mélangez tous ces ingrédients dans un robot ou à la main, en ajoutant peu à peu le liquide jusqu’à former une boule. Laissez reposer cette pâte une heure dans un endroit frais (mais on peut se passer de cette étape, puisqu’il n’y a pas de levure dans la pâte).//Roulez, étalez la pâte et découpez-la à l’emporte-pièce (ou en carrés avec un couteau). Disposez les biscuits sur une plaque munie d’un papier cuisson. Cuire au four préchauffé à 200°C, 4 à 5 mn. Sortez et placez les biscuits sur une grille pour les laisser refroidir.//Faites fondre le chocolat doucement dans une casserole au bain marie et nappez-en chaque biscuit [*], puis placez-les une heure au réfrigérateur.",https://www.cuisine-libre.org/sable-nappe-de-chocolat,https://www.cuisine-libre.org/local/cache-gd2/9d/0d7b311112a6bdda03e5f69e1fe647.jpg?1644794483,palme huile graeffe riz sodium pressé chocolat noir sucre belge lait allergique vergeoise pain citron bicarbonate farine thé ju fruit cuillère,ju graeff belg pres bicarbon riz allergiqu sodium farin chocolat cuiller noir lait the pain citron palm huil fruit vergeoi sucr
Pain d’épices de Mabon,¾ tasse d’eau//½ tasse de miel//½ tasse de citron finement coupé//½ tasse de sucre//2 c. soupe de graines d’anis//2⅓ tasses de farine de seigle//1½ c. café de levure//1 c. café de noix de muscade//1 c. café de cannelle//¼ c. café de poivre de la Jamaïque//1 pincée de sel,20 min,1 h,,"Préchauffer le four à 180°C/350°F.//Porter l’eau à ébullition dans une casserole. Ajouter le miel, le citron, le sucre et les graines d’anis. Remuer jusqu’à ce que le sucre soit complètement dissout puis retirer du feu.//Ajouter la farine, la levure, le sel, le poivre, les épices et incorporer au mélange. Battre pour former un pain d’environ 20 cm de long, 12 cm de large et 7-8 cm d’épaisseur.//Cuire à four chaud pendant une heure.Laisser refroidir sur une grille.",https://www.cuisine-libre.org/pain-d-epices-de-mabon,https://www.cuisine-libre.org/local/cache-gd2/5f/fd92206a019ed9c584369afda4ebcf.jpg?1644795616,¼ noix eau finement ani graine café ¾ sucre cannelle muscade sel ½ citron farine seigle levure poivre jamaïque tasse ⅓ miel coupé,noix eau muscad grain levur finement ani jamaiqu cannel tas cafe farin seigl coup sel citron poivr miel sucr
Pains à l’amande de Beltaine,4 tasses de farine tamisée//½ tasse d’amandes moulues//2 tasses de sucre//1 boule (env. 230 g) de pâte d’amande//½ c. à café de bicarbonate de soude ou de levure à gâteau//1 c. à café de cannelle//5 œufs battus,20 min,20 min,,"Préchauffez votre four à 190°C/375°F.//Mélangez tous les ingrédients et pétrissez. Quand la pâte est bien travaillée et presque molle, faites-en des boules de la taille d’un poing et mettez-les, aplaties, sur une plaque à biscuits non graissée. Vous pouvez aussi ne faire qu’une miche de pain.//Laissez cuire jusqu’à ce que les biscuits soient dorés, environ 20 minutes.//Lorsqu’ils sont refroidis, glacez avec une croix solaire blanche.",https://www.cuisine-libre.org/pains-a-l-amande-de-beltaine,https://www.cuisine-libre.org/local/cache-gd2/bd/7abd74d94162f7c0c53673049c3c44.jpg?1644795991,½ boule bicarbonate farine œuf levure tamisée sucre cannelle env amande battu tasse pâte gâteau café amande moulue,boul levur tamise oeuf battu cafe env moulu bicarbon gateau farin pate cannel tas amand sucr
